"competition_name","type","gender"
"Hopman Cup","mixed","mixed"
"World Team Cup","mixed","men"
"Championship International Series","singles","women"
"Davis Cup","mixed","men"
"Billie Jean King Cup","mixed","women"
"IPTL","singles","men"
"ITF Men San Jose, Costa Rica Men Singles","singles","men"
"ITF Men San Jose, Costa Rica Men Doubles","doubles","men"
"ITF Colombia 02A, Women Singles","singles","women"
"ITF Australia 02B, Women Doubles","doubles","women"
"ITF Uzbekistan 01A, Women Singles","singles","women"
"ITF Tunisia 39A, Women Doubles","doubles","women"
"ITF Egypt F38, Men Doubles","doubles","men"
"ITF USA 17A, Women Singles","singles","women"
"ITF Bosnia & Herzegovina 01A, Women Doubles","doubles","women"
"ITF Mexico F13, Men Singles","singles","men"
"ITF Mexico F13, Men Doubles","doubles","men"
"ITF Mexico 17A, Women Singles","singles","women"
"ITF Mexico F30, Men Singles","singles","men"
"ITF Mexico F30, Men Doubles","doubles","men"
"ATP Cup","mixed","men"
"NIU","doubles","men"
"UTR Pro Match Series Men Singles","singles","men"
"LiveScore Cup, Women","singles","women"
"Battle of the Brits, Men Doubles","doubles","men"
"Battle of the Brits, Men Singles","singles","men"
"WTA 125K Prague, Czech Republic","singles","women"
"WTA 125K Prague, Czech Republic Doubles","doubles","women"
"ITF France 31A, Women Singles","singles","women"
"ITF France 31A, Women Doubles","doubles","women"
"ITF Colombia F7, Men Doubles","doubles","men"
"Riyadh Exhibition","singles","men"
"ITF Sweden 09A, Women Doubles","doubles","women"
"ITF Sweden F9, Men Doubles","doubles","men"
"ITF USA 53A, Women Singles","singles","women"
"United Cup","mixed","mixed"
"ITF Tunisia F61 Men Singles","singles","men"
"UTR Boca Raton W03","singles","women"
"ITF Tunisia 59A, Women Singles","singles","women"
"UTR Boca Raton W05","singles","women"
"UTR Newport Beach W03","singles","women"
"UTR Olomouc W01","singles","women"
"UTR Norman M01","singles","men"
"UTR Los Angeles M01","singles","men"
"UTR Cornella de Llobregat M01","singles","men"
"UTR Boca Raton W01","singles","women"
"UTR Norman W01","singles","women"
"UTR Newport Beach W01","singles","women"
"UTR Olomouc M01","singles","men"
"UTR Baton Rouge M01","singles","men"
"UTR Tucson M01","singles","men"
"UTR Noda M01","singles","men"
"UTR Winston-Salem M01","singles","men"
"UTR Cornella de Llobregat M02","singles","men"
"UTR Baton Rogue W01","singles","women"
"UTR Noda W01","singles","women"
"Winston-Salem W01","singles","women"
"UTR Newport Beach W02","singles","women"
"UTR Cornella de Llobregat W01","singles","women"
"UTR Boca Raton M01","singles","men"
"UTR Noda M02","singles","men"
"UTR Blagoevgrad M01","singles","men"
"UTR Newport Beach M01","singles","men"
"UTR Cornella de Llobregat W02","singles","women"
"UTR Bonita Springs W01","singles","women"
"UTR Noda W02","singles","women"
"UTR Olomouc M02","singles","men"
"UTR Alvor M01","singles","men"
"UTR Boca Raton M02","singles","men"
"UTR Bloomington M01","singles","men"
"UTR Dubai W01","singles","women"
"UTR Blagoevgrad W01","singles","women"
"UTR Boca Raton W02","singles","women"
"UTR Newport Beach W04","singles","women"
"UTR Yokohama M01","singles","men"
"UTR Gyor M01","singles","men"
"UTR Alvor M02","singles","men"
"UTR Newport Beach M02","singles","men"
"UTR Yokohama W01","singles","women"
"UTR Dubai W02","singles","women"
"UTR Yokohama M02","singles","men"
"UTR Dubai M01","singles","men"
"UTR Blagoevgrad M02","singles","men"
"UTR Cornella de Llobregat M03","singles","men"
"UTR Berkeley M01","singles","men"
"UTR Yokohama W02","singles","women"
"UTR Cornella de Llobregat W03","singles","women"
"UTR Pancevo W01","singles","women"
"UTR Dubai M02","singles","men"
"UTR Olomouc M03","singles","men"
"UTR Tigre M01","singles","men"
"UTR Spring M01","singles","men"
"UTR Stockton M01","singles","men"
"UTR Spring W01","singles","women"
"UTR Bucharest W01","singles","women"
"UTR Rungsted Kyst W01","singles","women"
"UTR Tigre W01","singles","women"
"UTR Kawaguchi M01","singles","men"
"UTR Bucharest M01","singles","men"
"UTR Tigre M02","singles","men"
"UTR Kawaguchi W01","singles","women"
"UTR Olomouc W02","singles","women"
"UTR Tigre W02","singles","women"
"UTR Newport Beach W05","singles","women"
"UTR Cardiff M01","singles","men"
"UTR Zadar M01","singles","men"
"UTR Boca Raton M03","singles","men"
"UTR Newport Beach M03","singles","men"
"UTR Lincoln M01","singles","men"
