"venue_name","complex_name"
"Cancha Central","Nacional"
"Centre Court","Estadio de la Cartuja"
"Court One","Estadio de la Cartuja"
"Court 1","Sibur Arena"
"CENTER COURT","Sibur Arena"
"Sibur Arena","Sibur Arena"
"TC Dynamo","Sibur Arena"
"Central","Complexo de Tenis do Jamor"
"Campo 3","Complexo de Tenis do Jamor"
"Campo 4","Complexo de Tenis do Jamor"
"Campo 1","Complexo de Tenis do Jamor"
"Campo 8","Complexo de Tenis do Jamor"
"Centre Court","Ostravar Arena"
"Court 3","Ostravar Arena"
"Court 6","Ostravar Arena"
"Court 4","Ostravar Arena"
"Court 1","Ostravar Arena"
"Court 2","Ostravar Arena"
"Table 1","Varazdin Arena"
"Table 2","Varazdin Arena"
"Table 3","Varazdin Arena"
"Table 4","Varazdin Arena"
"Table 5","Varazdin Arena"
"Table 6","Varazdin Arena"
"Table 7","Varazdin Arena"
"Table 8","Varazdin Arena"
"Court 1","Arena Montpellier"
"Court Patrice Dominguez","Arena Montpellier"
"Court Central","Arena Montpellier"
"Court 2","Arena Montpellier"
"Court 3","Arena Montpellier"
"Court 2","Palais des Sports Orleans"
"Court 3","Palais des Sports Orleans"
"Court 4","Palais des Sports Orleans"
"Court 5","Palais des Sports Orleans"
"Center Court","Palais des Sports Orleans"
"Court 1","Palais des Sports Orleans"
"Pista Cental","Palacio de Deportes Jose Maria Martin Carpena"
"Pista 2","Palacio de Deportes Jose Maria Martin Carpena"
"Pista 3","Palacio de Deportes Jose Maria Martin Carpena"
"Pista 4","Palacio de Deportes Jose Maria Martin Carpena"
"Centre Court","Palacio de Deportes Jose Maria Martin Carpena"
"Court 2","Palacio de Deportes Jose Maria Martin Carpena"
"Court 3","Palacio de Deportes Jose Maria Martin Carpena"
"Center Court","Arena Armeets Sofia"
"Court 1","Arena Armeets Sofia"
"Court 3","Arena Armeets Sofia"
"Court 4","Arena Armeets Sofia"
"Court 2","Arena Armeets Sofia"
"Center Court","Kindarena"
"Amelie Mauresmo","Kindarena"
"Celine Dumerc","Kindarena"
"Court 1","Kindarena"
"Cancha Central","Estadio German Becker"
"Cancha 1","Estadio German Becker"
"Cancha 2","Estadio German Becker"
"Cancha 3","Estadio German Becker"
"Indoor 1","Palais des sports de Gerland"
"Indoor 2","Palais des sports de Gerland"
"Indoor 3","Palais des sports de Gerland"
"Court 23","Palais des sports de Gerland"
"Court 14","Palais des sports de Gerland"
"Court 15","Palais des sports de Gerland"
"Court 12","Palais des sports de Gerland"
"La Foret 3","Palais Des Sport"
"Central Court","Palais Des Sport"
"La Foret 2","Palais Des Sport"
"Court 1","Palais Des Sport"
"La Foret 4","Palais Des Sport"
"La Foret 1","Palais Des Sport"
"Court 2","Palais Des Sport"
"Court 2","Palasport"
"Court 3","Palasport"
"Campo Tato Paride","Palasport"
"Campo Arpex","Palasport"
"Atg 3","Salle Steredenn"
"Center","Liuzhou Tennis Center"
"Atg 4","Salle Steredenn"
"Tcsb 4","Salle Steredenn"
"Tcsb 3","Salle Steredenn"
"Court Steredenn","Salle Steredenn"
"Court TCSB","Salle Steredenn"
"Court Limak Enerji","Garanti Koza Arena"
"Centre Court","Porsche-Arena"
"Court 1","Porsche-Arena"
"Court 2","Porsche-Arena"
"Court 1","Rotterdam Ahoy"
