"venue_name","city_name","country_name","complex_name"
"Cancha Central","Santiago","Chile","Nacional"
"Cancha Central","Temuco","Chile","Estadio German Becker"
"Cancha 1","Temuco","Chile","Estadio German Becker"
"Cancha 2","Temuco","Chile","Estadio German Becker"
"Cancha 3","Temuco","Chile","Estadio German Becker"
"Cancha 2","Vina del Mar","Chile","Club Naval de Campo las Salinas"
"Cancha 1","Vina del Mar","Chile","Club Naval de Campo las Salinas"
"Cancha Central","Vina del Mar","Chile","Club Naval de Campo las Salinas"
"Court 5","Vina del Mar","Chile","Club Naval de Campo las Salinas"
"Court 1","Santiago","Chile","Club Deportivo Universidad Catolica"
"Court 2","Santiago","Chile","Club Deportivo Universidad Catolica"
"Court 3","Santiago","Chile","Club Deportivo Universidad Catolica"
"Cancha Central","Santiago","Chile","Club Deportivo Universidad Catolica"
"San Carlos De Apoquindo","Santiago","Chile","Club Deportivo Universidad Catolica"
"Court Jaime Fillol","Santiago","Chile","Club Deportivo Universidad Catolica"
"Cancha Central","Concepcion","Chile","Club De Campo Bellavista"
"Cancha 1","Concepcion","Chile","Club De Campo Bellavista"
"Cancha 2","Concepcion","Chile","Club De Campo Bellavista"
"Cancha Central","Santiago","Chile","Club Manquehue de Vitacura"
"Court 2","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 4","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 6","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 14","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 16","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 17","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 1","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 3","Santiago","Chile","Club Manquehue de Vitacura"
"Centre Court","Santiago","Chile","Club Manquehue de Vitacura"
"Court 16","Santiago","Chile","Club Manquehue de Vitacura"
"Court 15","Santiago","Chile","Club Manquehue de Vitacura"
"Court 11","Santiago","Chile","Club Manquehue de Vitacura"
"Court 4","Santiago","Chile","Club Manquehue de Vitacura"
"Central","Santiago","Chile","Club Manquehue de Vitacura"
"Court 6","Santiago","Chile","Club Manquehue de Vitacura"
"Court 7","Santiago","Chile","Club Manquehue de Vitacura"
"Court 8","Santiago","Chile","Club Manquehue de Vitacura"
"Cancha 11","Santiago","Chile","Club Manquehue de Vitacura"
"Center Court","Coquimbo","Chile","Club de Tenis Coquimbo"
"Court 1","Coquimbo","Chile","Club de Tenis Coquimbo"
"Court 3","Coquimbo","Chile","Club de Tenis Coquimbo"
"Cancha 4","Coquimbo","Chile","Club de Tenis Coquimbo"
"Court 2","Coquimbo","Chile","Club de Tenis Coquimbo"
"Cancha Central","Coquimbo","Chile","Club de Tenis Coquimbo"
"Cancha 2","Coquimbo","Chile","Club de Tenis Coquimbo"
"Cancha 3","Coquimbo","Chile","Club de Tenis Coquimbo"
"Cancha Central","Concepcion","Chile","Estadio Espanol Chiguayante"
"Cancha 1","Concepcion","Chile","Estadio Espanol Chiguayante"
"Cancha 2","Concepcion","Chile","Estadio Espanol Chiguayante"
"Cancha 7","Concepcion","Chile","Estadio Espanol Chiguayante"
"Cancha 3","Concepcion","Chile","Estadio Espanol Chiguayante"
"Cancha 7","Antofagasta","Chile","Autoclub Antofagasta"
"Cancha 8","Antofagasta","Chile","Autoclub Antofagasta"
"Cancha Central","Antofagasta","Chile","Autoclub Antofagasta"
"Court 1","Antofagasta","Chile","Autoclub Antofagasta"
"Court 2","Antofagasta","Chile","Autoclub Antofagasta"
"Court 3","Antofagasta","Chile","Autoclub Antofagasta"
"Court 5","Colina","Chile","Hacienda Chicureo"
"Centre Court","Colina","Chile","Hacienda Chicureo"
"Court 1","Colina","Chile","Hacienda Chicureo"
"Court 2","Colina","Chile","Hacienda Chicureo"
"Grandstand","Colina","Chile","Hacienda Chicureo"
"Cc. Banco De Chile","Santiago","Chile","Complejo Deportivo San Carlos De Apoquindo"
"C2 Shell","Santiago","Chile","Complejo Deportivo San Carlos De Apoquindo"
"C3 Costa","Santiago","Chile","Complejo Deportivo San Carlos De Apoquindo"
"C4 Skechers","Santiago","Chile","Complejo Deportivo San Carlos De Apoquindo"
