"venue_name","timezone"
"Cancha Central","America/Santiago"
"Centre Court","Europe/Madrid"
"Court One","Europe/Madrid"
"Court 1","Europe/Moscow"
"CENTER COURT","Europe/Moscow"
"Sibur Arena","Europe/Moscow"
"TC Dynamo","Europe/Moscow"
"Central","Europe/Lisbon"
"Campo 3","Europe/Lisbon"
"Campo 4","Europe/Lisbon"
"Campo 1","Europe/Lisbon"
"Campo 8","Europe/Lisbon"
"Centre Court","Europe/Prague"
"Court 3","Europe/Prague"
"Court 6","Europe/Prague"
"Court 4","Europe/Prague"
"Court 1","Europe/Prague"
"Court 2","Europe/Prague"
"Table 1","Europe/Zagreb"
"Table 2","Europe/Zagreb"
"Table 3","Europe/Zagreb"
"Table 4","Europe/Zagreb"
"Table 5","Europe/Zagreb"
"Table 6","Europe/Zagreb"
"Table 7","Europe/Zagreb"
"Table 8","Europe/Zagreb"
"Court 1","Europe/Paris"
"Court Patrice Dominguez","Europe/Paris"
"Court Central","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 2","Europe/Paris"
"Court 3","Europe/Paris"
"Court 4","Europe/Paris"
"Court 5","Europe/Paris"
"Center Court","Europe/Paris"
"Court 1","Europe/Paris"
"Pista Cental","Europe/Madrid"
"Pista 2","Europe/Madrid"
"Pista 3","Europe/Madrid"
"Pista 4","Europe/Madrid"
"Centre Court","Europe/Madrid"
"Court 2","Europe/Madrid"
"Court 3","Europe/Madrid"
"Center Court","Europe/Sofia"
"Court 1","Europe/Sofia"
"Court 3","Europe/Sofia"
"Court 4","Europe/Sofia"
"Court 2","Europe/Sofia"
"Center Court","Europe/Paris"
"Amelie Mauresmo","Europe/Paris"
"Celine Dumerc","Europe/Paris"
"Court 1","Europe/Paris"
"Cancha Central","America/Santiago"
"Cancha 1","America/Santiago"
"Cancha 2","America/Santiago"
"Cancha 3","America/Santiago"
"Indoor 1","Europe/Paris"
"Indoor 2","Europe/Paris"
"Indoor 3","Europe/Paris"
"Court 23","Europe/Paris"
"Court 14","Europe/Paris"
"Court 15","Europe/Paris"
"Court 12","Europe/Paris"
"La Foret 3","Europe/Paris"
"Central Court","Europe/Paris"
"La Foret 2","Europe/Paris"
"Court 1","Europe/Paris"
"La Foret 4","Europe/Paris"
"La Foret 1","Europe/Paris"
"Court 2","Europe/Paris"
"Court 2","Europe/Rome"
"Court 3","Europe/Rome"
"Campo Tato Paride","Europe/Rome"
"Campo Arpex","Europe/Rome"
"Atg 3","Europe/Paris"
"Center","Asia/Shanghai"
"Atg 4","Europe/Paris"
"Tcsb 4","Europe/Paris"
"Tcsb 3","Europe/Paris"
"Court Steredenn","Europe/Paris"
"Court TCSB","Europe/Paris"
"Court Limak Enerji","Europe/Istanbul"
"Centre Court","Europe/Berlin"
