"complex_name","venue_count"
"Tennis St-Luc - Les Loisirs De Granby","10"
"Club Tungurahua","5"
"JC Ferrero Equelite Sport Academy","5"
"Country Club Aixois","9"
"LTP Tennis Mount Pleasant","5"
"Spo1 Park","10"
"Hiroshima Regional Park","10"
"St. Jakobshalle Basel","11"
"Seoul Olympic Park Tennis Center","11"
"Halton-Wagner Tennis Complex","6"
"Victoria Park Tennis Stadium","3"
"Parc ded Sports de Marville","8"
"Graciosa Country Club","7"
"Palacio de Deportes Jose Maria Martin Carpena","7"
"Jockey Club de Rosario","3"
"Skip and Cindy Hogan Tennis Center","7"
"Arka Tennis Club","3"
"Club Tennis Els Gorchs","9"
"A.S.D. Tennis Club Como","12"
"Canberra Tennis Centre","7"
"Wojska Polskiego","9"
"Delmar International School","5"
"Burnie Tennis Club","9"
"Connecticut Tennis Center","11"
"Foro Italico","16"
"Complejo Deportivo San Carlos De Apoquindo","4"
"Greater Midland Tennis Center","4"
"Sportpark Ismaning","5"
"TC Weissenhof, Stuttgart","6"
"Cantegril Country Club","5"
"Club de Tennis La Bisbal Centre Esportiu","7"
"San José State University Tennis Center","6"
"Parque Distrital de Raquetas","5"
"Stade Toulousain Tennis Club","8"
"Complexo Municipal de Tenis da Maia","3"
"Rick Macci Tennis Center","6"
"Cary Leeds Center for Tennis & Learning","15"
"Kaya Palazzo Belek","2"
"Les Arenes de Metz","5"
"Atlantis The Palm","4"
"Clube de Tenis de Braga","9"
"Santo Domingo Tennis Club La Bocha","18"
"Guangzhou Tianhe Sports Center","8"
"Complexe Sportif Chantereyne","5"
"Complejo Deportivo Pedro Muñoz","9"
"Ciric Sport Base","7"
"Nice Lawn Tennis Club","2"
"Accor Arena","2"
"Parque Parota","8"
"Club Sonoma","11"
"Tenis Centar Firule","5"
"Tennis Club de Strasbourg","11"
"Raquet Village","3"
"Baza Sportiva Olimpia","5"
"Hamburger Tennis Verband e.V","3"
"Karnataka State Lawn Tennis Association","7"
"Vendéspace","2"
"Complexe Tennistique Marie-Louise Lhuillier","6"
"TC Blau-Gelb Bad Rappenau","3"
"Danubis Tenniscenter Mauthausen","5"
"Taipei Arena","10"
"Ariake Tennis Forest Park Ariake Colesseum","21"
"Estadio de la Cartuja","2"
"Villa Reale Tennis Monza","3"
"Romai Tennis Academy","4"
"Am Rothenbaum","12"
"Playford City Tennis Centre","3"
"Hard Rock Stadium","13"
"New Country Tennis Academy","5"
"Henan Provincial Sports Centre Stadium","4"
"Bendigo Tennis Centre","6"
"Lindner Family Tennis Center","18"
"Cranbrook Kingswood Tennis Complex","5"
"Braunschweiger Tennis und Hockeyclub","6"
"Jockey Club Brasileiro","17"
"Aspria Harbor Club","7"
"Estadio Espanol Chiguayante","5"
"Yokkaichi Tennis Center","9"
"Tennis Club Tulln","5"
"Club Tennis Girona","15"
"Solano Community College","13"
"National Bank Tennis Hub @ West St Paul","6"
"EPG Arena","3"
"Mallorca Country Club Santa Ponsa","13"
"Tennis Sporting Club de Cassis Les Gorguettes","7"
"Caja Magica","3"
"Tokyo Metropolitan Gymnasium","4"
"Design Center Linz","2"
"Franklin Creek Tennis Center","8"
"Tennis Academy El Cortijo Club De Campo","7"
"Atkins Tennis Center Indoor","4"
"The Phoenix Country Club","5"
"LSU","5"
"Manzanillo","4"
"Jacobs Pavilion at Nautica","5"
"Rome Tennis Center at Berry College","4"
"Club Campestre","3"
"Tennis Club Triestino","8"
"TC Bad Homburg","3"
"LTTC Rot-Weiss","3"
"TENNISGESELLSCHAFT ROT-WEISS Monchengladbach","5"
"Stanford Taube Tennis Center","6"
"Arena Sofia","4"
"COMUNIDAD VALENCIANA","4"
"Tenisovy Klub Prostejov","5"
"El Club el Carmel","8"
"Ohio State Varsity Tennis Center","7"
"Palalido Allianz Cloud","6"
"Salle Omnisport de Rades","4"
"Circolo Tennis Rovereto","4"
"Tennis Interieur Rene Verrier","3"
"Hot Springs Tennis Center","17"
"Rice Stadium (Brian Patterson Sports Performance Center)","7"
"Circolo Tennis Villa Carpena","7"
"Royal Tennis Club de Marrakech","6"
"Yang-Ming Tennis Centre","8"
"Korty Mosrir","4"
"Conde Jackson Tennis Club Maspalomas","3"
"Indian Wells Tennis Garden","21"
"T Bar M Racquet Club","5"
"Payne Park Tennis Facility","13"
"La Caja Magica","9"
"Mouratoglou Tennis Academy","4"
"Club De Campo Bellavista","3"
"Stade Roland Garros","18"
"XS Tennis Village","13"
"Club Tennis Las Terrazas de Miraflores","22"
"Queens Park","6"
"Singapore Indoor Stadium","5"
"Tennis club ""Favourite""","5"
"Salinas Golf & Tennis Club","15"
"Murcia Tennis Club 1919","4"
"Queensland Tennis Centre","20"
"House of Sports","3"
"Real Club de Tenis Betis","14"
"Olympic Tennis School","6"
"TC Ismaning","2"
"Palais des sports de Beaublanc","3"
"TC GM Sports Anif","7"
"Tennis Club Izida","4"
"Wuxi International Tennis Center","10"
"Club Sonoma, Estadio Gnp Seguros","5"
"Farum Arena","5"
"Mhalunge Balewadi Tennis Complex","7"
"C.D. Open Tenis Ciudad de Pozoblanco","9"
"Akademia Tenisowa Tenis Kozerki","9"
"Clube de Ténis do Estoril","10"
"Montreux Tennis Club","2"
"Hurd Tennis Center","24"
"The Boar's Head Sports Club","8"
"Anexo Guayaquil Tenis Club","6"
"International Tennis Center","4"
"Multisport Sports Club","14"
"Lyttos Sportscenter","3"
"Wimbledon Tennis and Pickleball Club","3"
"Club Campestre de Aguacalientes A.C.C.","10"
"Public Security Officers Club","8"
"Playford Tennis Centre","3"
"ASB Tennis Arena","14"
"Varazdin Arena","8"
"Hala Ricany","2"
"Tênis Clube de Santos","10"
"Liuzhou Tennis Center","7"
"Circolo Tennis Francavilla al Mare Sporting Club","5"
"Arena Chisinau Tennis Club","8"
"Tennis Center Novak","10"
"Club Campestre de Pereira","12"
"Sporting Club de Tenis Valencia","13"
"BT Arena","2"
"Parque Olimpico do Rio de Janeiro","2"
"Estadio German Becker","4"
"Club de Tenis Coquimbo","8"
"Le Central Tennis Club","3"
"Tennis Club du Stade-Lausanne","3"
"Tennis Club Sparta Praha","16"
"Lanxess Arena","2"
"Carrasco Lawn Tennis Club","4"
"Rebsamen Tennis Center","6"
"TK Sparta Praha","7"
"Georgia Gwinnett","5"
"I. Czech Lawn Tennis Club Praha","4"
"Centrul National de Tenis","9"
"Goodfriend Indoor Tennis Center","6"
"Penina Hotel & Golf Resort","6"
"Tennis Palladio 98","8"
"Jim and Nell Hawkins Indoor Tennis Center","4"
"Ningbo Tennis Center of WTA Ningbo, China w42","12"
"Cordoba Lawn Tennis Club","3"
"Complexe Jean Jaures","8"
"Jinwol International Tennis Court","10"
"Acapulco Princess Mundo Imperial","3"
"Fitzerald Tennis Center Rock Creek Park","9"
"Circolo Tennis Maggioni","3"
"Club Deportivo Potosino","8"
"Goodfriend Tennis Center","6"
"Circolo Tennis Barletta","2"
"USTA National Campus","8"
"Istanbul Tennis Center","4"
"Club Campestre Farallones","3"
"SEB Arena","12"
"Palais des Sports de Marseille","3"
"Complexe Sportif du Blocry","2"
"All In Country Club Decines","3"
"Shenzhen International Tennis Center","11"
"AAJB Tennis","11"
"Club Jacaranda Cumbaya","15"
"Olme Sport","5"
"Delhi Lawn Tennis Association","3"
"Tennis Club de Geneve","5"
"Valletta Cambiaso ASD","9"
"SDAT Tennis Stadium","5"
"CK Sportcenter Kockelscheuer","5"
"Parc De La TeTe D'or","4"
"Iate Club de Brasilia","7"
"Forestmeadows Tennis Center","8"
"Arena Armeets Sofia","5"
"Circolo Tennis I Faggi","2"
"Hilary J. Boone Tennis Center","12"
"Arena GNP Seguros","5"
"Sud de France Arena","2"
"Sporting Club Verona","8"
"Sporting Poseidon","4"
"Kachreti Golf Resort","4"
"Tennis Club Pamira","5"
"Tennis Club ""Tennispark""","8"
"Nottingham Tennis Centre","18"
"KPI Park","6"
